int, int, EPassType, int, int, TableReward, TableReward
Id, Level, PassType, PrevNeedPoint, NeedPoint, FreeReward, PaidReward
1, 1, "WavePass", "", 2000, "101, 3000, 3000", "101, 10000, 10000"
2, 2, "WavePass", "", 2100, "102, 50, 50", "102, 150, 150"
3, 3, "WavePass", "", 2200, "103, 30, 30", "103, 80, 80"
4, 4, "WavePass", "", 2300, "104, 3, 3", "104, 10, 10"
5, 5, "WavePass", "", 2400, "201, 1, 1", "201, 3, 3"
6, 6, "WavePass", "", 2500, "101, 3000, 3000", "101, 10000, 10000"
7, 7, "WavePass", "", 2600, "102, 50, 50", "102, 150, 150"
8, 8, "WavePass", "", 2700, "103, 30, 30", "103, 80, 80"
9, 9, "WavePass", "", 2800, "104, 3, 3", "104, 10, 10"
10, 10, "WavePass", "", 2900, "201, 1, 1", "201, 3, 3"
11, 11, "WavePass", "", 3000, "101, 3000, 3000", "101, 10000, 10000"
12, 12, "WavePass", "", 3100, "102, 50, 50", "102, 150, 150"
13, 13, "WavePass", "", 3200, "103, 30, 30", "103, 80, 80"
14, 14, "WavePass", "", 3300, "104, 3, 3", "104, 10, 10"
15, 15, "WavePass", "", 3400, "201, 1, 1", "201, 3, 3"
16, 16, "WavePass", "", 3500, "101, 3000, 3000", "101, 10000, 10000"
17, 17, "WavePass", "", 3600, "102, 50, 50", "102, 150, 150"
18, 18, "WavePass", "", 3700, "103, 30, 30", "103, 80, 80"
19, 19, "WavePass", "", 3800, "104, 3, 3", "104, 10, 10"
20, 20, "WavePass", "", 3900, "201, 1, 1", "201, 3, 3"
21, 21, "WavePass", "", 4000, "101, 3000, 3000", "101, 10000, 10000"
22, 22, "WavePass", "", 4100, "102, 50, 50", "102, 150, 150"
23, 23, "WavePass", "", 4200, "103, 30, 30", "103, 80, 80"
24, 24, "WavePass", "", 4300, "104, 3, 3", "104, 10, 10"
25, 25, "WavePass", "", 4400, "201, 1, 1", "201, 3, 3"
26, 26, "WavePass", "", 4500, "101, 3000, 3000", "101, 10000, 10000"
27, 27, "WavePass", "", 4600, "102, 50, 50", "102, 150, 150"
28, 28, "WavePass", "", 4700, "103, 30, 30", "103, 80, 80"
29, 29, "WavePass", "", 4800, "104, 3, 3", "104, 10, 10"
30, 30, "WavePass", "", 4900, "201, 1, 1", "201, 3, 3"
31, 31, "WavePass", "", 5000, "101, 3000, 3000", "101, 10000, 10000"
32, 32, "WavePass", "", 5100, "102, 50, 50", "102, 150, 150"
33, 33, "WavePass", "", 5200, "103, 30, 30", "103, 80, 80"
34, 34, "WavePass", "", 5300, "104, 3, 3", "104, 10, 10"
35, 35, "WavePass", "", 5400, "201, 1, 1", "201, 3, 3"
36, 36, "WavePass", "", 5500, "101, 3000, 3000", "101, 10000, 10000"
37, 37, "WavePass", "", 5600, "102, 50, 50", "102, 150, 150"
38, 38, "WavePass", "", 5700, "103, 30, 30", "103, 80, 80"
39, 39, "WavePass", "", 5800, "104, 3, 3", "104, 10, 10"
40, 40, "WavePass", "", 5900, "201, 1, 1", "201, 3, 3"
41, 41, "WavePass", "", 6000, "101, 3000, 3000", "101, 10000, 10000"
42, 42, "WavePass", "", 6100, "102, 50, 50", "102, 150, 150"
43, 43, "WavePass", "", 6200, "103, 30, 30", "103, 80, 80"
44, 44, "WavePass", "", 6300, "104, 3, 3", "104, 10, 10"
45, 45, "WavePass", "", 6400, "201, 1, 1", "201, 3, 3"
46, 46, "WavePass", "", 6500, "101, 10000, 10000", "101, 30000, 30000"
47, 47, "WavePass", "", 6600, "102, 500, 500", "102, 1500, 1500"
48, 48, "WavePass", "", 6700, "103, 300, 300", "103, 800, 800"
49, 49, "WavePass", "", 6800, "104, 30, 30", "104, 100, 100"
50, 50, "WavePass", "", 6900, "201, 5, 5", "201, 10, 10"
501001, 1, "Combat", 50, 2, "102, 50, 50", "201, 3, 3"
501002, 2, "Combat", 50, 2, "102, 50, 50", "102, 1000, 1000"
501003, 3, "Combat", 50, 2, "102, 50, 50", "201, 3, 3"
501004, 4, "Combat", 50, 2, "102, 50, 50", "102, 1000, 1000"
501005, 5, "Combat", 50, 2, "102, 50, 50", "201, 3, 3"
501006, 6, "Combat", 50, 2, "102, 50, 50", "102, 1000, 1000"
501007, 7, "Combat", 50, 2, "102, 50, 50", "201, 3, 3"
501008, 8, "Combat", 50, 2, "102, 50, 50", "102, 1000, 1000"
501009, 9, "Combat", 50, 2, "102, 50, 50", "201, 3, 3"
501010, 10, "Combat", 50, 2, "102, 50, 50", "102, 2000, 2000"
501011, 11, "Combat", 50, 2, "102, 50, 50", "201, 5, 5"
1001, 1, "Normal", "", 10, "102, 50, 50", "104, 10, 10"
1002, 2, "Normal", "", 10, "102, 50, 50", "102, 500, 500"
1003, 3, "Normal", "", 10, "102, 50, 50", "104, 15, 15"
1004, 4, "Normal", "", 10, "102, 50, 50", "201, 3, 3"
1005, 5, "Normal", "", 10, "102, 50, 50", "104, 20, 20"
1006, 6, "Normal", "", 10, "102, 50, 50", "102, 1000, 1000"
1007, 7, "Normal", "", 10, "102, 50, 50", "104, 30, 30"
1008, 8, "Normal", "", 10, "102, 50, 50", "201, 5, 5"
1009, 9, "Normal", "", 10, "102, 50, 50", "104, 40, 40"
2001, 1, "Hard", "", 10, "102, 50, 50", "201, 3, 3"
2002, 2, "Hard", "", 10, "102, 50, 50", "102, 1000, 1000"
2003, 3, "Hard", "", 10, "102, 50, 50", "104, 30, 30"
2004, 4, "Hard", "", 10, "102, 50, 50", "102, 1000, 1000"
2005, 5, "Hard", "", 10, "102, 50, 50", "101, 50000, 50000"
2006, 6, "Hard", "", 10, "102, 50, 50", "102, 1500, 1500"
2007, 7, "Hard", "", 10, "102, 50, 50", "201, 10, 10"
2008, 8, "Hard", "", 10, "102, 50, 50", "102, 2000, 2000"
2009, 9, "Hard", "", 10, "102, 50, 50", "201, 15, 15"
3001, 1, "Hell", "", 10, "102, 50, 50", "102, 1000, 1000"
3002, 2, "Hell", "", 10, "102, 50, 50", "201, 5, 5"
3003, 3, "Hell", "", 10, "102, 50, 50", "107, 15, 15"
3004, 4, "Hell", "", 10, "102, 50, 50", "102, 1500, 1500"
3005, 5, "Hell", "", 10, "102, 50, 50", "201, 10, 10"
3006, 6, "Hell", "", 10, "102, 50, 50", "107, 30, 30"
3007, 7, "Hell", "", 10, "102, 50, 50", "102, 2000, 2000"
3008, 8, "Hell", "", 10, "102, 50, 50", "201, 20, 20"
3009, 9, "Hell", "", 10, "102, 50, 50", "201, 30, 30"
4001, 1, "God", "", 10, "102, 50, 50", "101, 50000, 50000"
4002, 2, "God", "", 10, "102, 50, 50", "107, 30, 30"
4003, 3, "God", "", 10, "102, 50, 50", "201, 20, 20"
4004, 4, "God", "", 10, "102, 50, 50", "102, 3000, 3000"
4005, 5, "God", "", 10, "102, 50, 50", "101, 100000, 100000"
4006, 6, "God", "", 10, "102, 50, 50", "107, 40, 40"
4007, 7, "God", "", 10, "102, 50, 50", "201, 30, 30"
4008, 8, "God", "", 10, "102, 50, 50", "102, 5000, 5000"
4009, 9, "God", "", 10, "102, 50, 50", "107, 50, 50"
304001, 1, "DeepCave", "", 5, "102, 50, 50", "104, 10, 10"
304002, 2, "DeepCave", "", 5, "102, 50, 50", "102, 500, 500"
304003, 3, "DeepCave", "", 5, "102, 50, 50", "104, 10, 10"
304004, 4, "DeepCave", "", 5, "102, 50, 50", "201, 3, 3"
304005, 5, "DeepCave", "", 5, "102, 50, 50", "102, 500, 500"
304006, 6, "DeepCave", "", 5, "102, 50, 50", "201, 3, 3"
304007, 7, "DeepCave", "", 5, "102, 50, 50", "107, 10, 10"
304008, 8, "DeepCave", "", 5, "102, 50, 50", "201, 3, 3"
304009, 9, "DeepCave", "", 5, "102, 50, 50", "107, 10, 10"
304010, 10, "DeepCave", "", 5, "102, 50, 50", "201, 5, 5"
304011, 11, "DeepCave", "", 5, "102, 50, 50", "107, 10, 10"